,date,team_id,team_points_total,3P%,3P_made,FG%,FG_made,Total_Reb,team_Ast,WinPct
172,2007-11-10,5,71,0.23809523809523808,5,0.3333333333333333,27,38,18,16.666666666666664
173,2007-11-11,21,103,0.3333333333333333,3,0.43023255813953487,37,47,21,0.0
174,2007-11-11,27,113,0.4,8,0.5571428571428572,39,42,22,85.71428571428571
175,2007-11-11,23,72,0.13333333333333333,2,0.40540540540540543,30,41,21,33.33333333333333
176,2007-11-11,20,72,0.1875,3,0.37333333333333335,28,39,11,40.0
177,2007-11-11,13,95,0.2,2,0.45454545454545453,35,39,16,66.66666666666666
178,2007-11-11,4,82,0.42857142857142855,6,0.3974358974358974,31,34,19,50.0
179,2007-11-11,1,90,0.15,3,0.38961038961038963,30,41,21,33.33333333333333
180,2007-11-12,29,117,0.36363636363636365,4,0.5,41,41,29,75.0
181,2007-11-12,3,82,0.2857142857142857,4,0.40789473684210525,31,45,21,57.14285714285714
182,2007-11-12,8,122,0.5454545454545454,12,0.55,44,46,24,62.5
183,2007-11-13,27,107,0.48148148148148145,13,0.43956043956043955,40,40,29,87.5
184,2007-11-13,25,102,0.4,6,0.547945205479452,40,43,22,57.14285714285714
185,2007-11-13,24,113,0.3684210526315789,7,0.5616438356164384,41,38,23,75.0
186,2007-11-13,22,103,0.4,10,0.4634146341463415,38,58,24,75.0
187,2007-11-13,15,105,0.09090909090909091,1,0.5,35,44,19,33.33333333333333
188,2007-11-13,12,86,0.32,8,0.3493975903614458,29,47,16,42.85714285714285
189,2007-11-13,7,99,0.3157894736842105,6,0.4457831325301205,37,47,25,71.42857142857143
190,2007-11-13,4,91,0.4666666666666667,7,0.43037974683544306,34,47,22,57.14285714285714
191,2007-11-14,30,103,0.2777777777777778,5,0.4864864864864865,36,40,23,28.57142857142857
192,2007-11-14,28,88,0.3181818181818182,7,0.38461538461538464,35,50,19,50.0
193,2007-11-14,19,95,0.55,11,0.4794520547945205,35,35,20,77.77777777777779
194,2007-11-14,18,108,0.5,8,0.5316455696202531,42,41,19,16.666666666666664
195,2007-11-14,17,102,0.5714285714285714,8,0.46511627906976744,40,45,27,42.85714285714285
196,2007-11-14,16,95,0.2692307692307692,7,0.3855421686746988,32,34,15,12.5
